"","Ozone","Solar.R","Wind","Temp"
"1",41,190,7.4,67
"2",36,118,8,72
"3",12,149,12.6,74
"4",18,313,11.5,62
"5",NA,NA,14.3,56
"6",28,NA,14.9,66
"7",23,299,8.6,65
"8",19,99,13.8,59
"9",8,19,20.1,61
"10",NA,194,8.6,69
"11",7,NA,6.9,74
"12",16,256,9.7,69
"13",11,290,9.2,66
"14",14,274,10.9,68
"15",18,65,13.2,58
"16",14,334,11.5,64
"17",34,307,12,66
"18",6,78,18.4,57
"19",30,322,11.5,68
"20",11,44,9.7,62
"21",1,8,9.7,59
"22",11,320,16.6,73
"23",4,25,9.7,61
"24",32,92,12,61
"25",NA,66,16.6,57
"26",NA,266,14.9,58
"27",NA,NA,8,57
"28",23,13,12,67
"29",45,252,14.9,81
"30",115,223,5.7,79
"31",37,279,7.4,76
"32",NA,286,8.6,78
"33",NA,287,9.7,74
"34",NA,242,16.1,67
"35",NA,186,9.2,84
"36",NA,220,8.6,85
"37",NA,264,14.3,79
"38",29,127,9.7,82
"39",NA,273,6.9,87
"40",71,291,13.8,90
"41",39,323,11.5,87
"42",NA,259,10.9,93
"43",NA,250,9.2,92
"44",23,148,8,82
"45",NA,332,13.8,80
"46",NA,322,11.5,79
"47",21,191,14.9,77
"48",37,284,20.7,72
"49",20,37,9.2,65
"50",12,120,11.5,73
"51",13,137,10.3,76
"52",NA,150,6.3,77
"53",NA,59,1.7,76
"54",NA,91,4.6,76
"55",NA,250,6.3,76
"56",NA,135,8,75
"57",NA,127,8,78
"58",NA,47,10.3,73
"59",NA,98,11.5,80
"60",NA,31,14.9,77
"61",NA,138,8,83
"62",135,269,4.1,84
"63",49,248,9.2,85
"64",32,236,9.2,81
"65",NA,101,10.9,84
"66",64,175,4.6,83
"67",40,314,10.9,83
"68",77,276,5.1,88
"69",97,267,6.3,92
"70",97,272,5.7,92
"71",85,175,7.4,89
"72",NA,139,8.6,82
"73",10,264,14.3,73
"74",27,175,14.9,81
"75",NA,291,14.9,91
"76",7,48,14.3,80
"77",48,260,6.9,81
"78",35,274,10.3,82
"79",61,285,6.3,84
"80",79,187,5.1,87
"81",63,220,11.5,85
"82",16,7,6.9,74
"83",NA,258,9.7,81
"84",NA,295,11.5,82
"85",80,294,8.6,86
"86",108,223,8,85
"87",20,81,8.6,82
"88",52,82,12,86
"89",82,213,7.4,88
"90",50,275,7.4,86
"91",64,253,7.4,83
"92",59,254,9.2,81
"93",39,83,6.9,81
"94",9,24,13.8,81
"95",16,77,7.4,82
"96",78,NA,6.9,86
"97",35,NA,7.4,85
"98",66,NA,4.6,87
"99",122,255,4,89
"100",89,229,10.3,90
"101",110,207,8,90
"102",NA,222,8.6,92
"103",NA,137,11.5,86
"104",44,192,11.5,86
"105",28,273,11.5,82
"106",65,157,9.7,80
"107",NA,64,11.5,79
"108",22,71,10.3,77
"109",59,51,6.3,79
"110",23,115,7.4,76
"111",31,244,10.9,78
"112",44,190,10.3,78
"113",21,259,15.5,77
"114",9,36,14.3,72
"115",NA,255,12.6,75
"116",45,212,9.7,79
"117",168,238,3.4,81
"118",73,215,8,86
"119",NA,153,5.7,88
"120",76,203,9.7,97
"121",118,225,2.3,94
"122",84,237,6.3,96
"123",85,188,6.3,94
"124",96,167,6.9,91
"125",78,197,5.1,92
"126",73,183,2.8,93
"127",91,189,4.6,93
"128",47,95,7.4,87
"129",32,92,15.5,84
"130",20,252,10.9,80
"131",23,220,10.3,78
"132",21,230,10.9,75
"133",24,259,9.7,73
"134",44,236,14.9,81
"135",21,259,15.5,76
"136",28,238,6.3,77
"137",9,24,10.9,71
"138",13,112,11.5,71
"139",46,237,6.9,78
"140",18,224,13.8,67
"141",13,27,10.3,76
"142",24,238,10.3,68
"143",16,201,8,82
"144",13,238,12.6,64
"145",23,14,9.2,71
"146",36,139,10.3,81
"147",7,49,10.3,69
"148",14,20,16.6,63
"149",30,193,6.9,70
"150",NA,145,13.2,77
"151",14,191,14.3,75
"152",18,131,8,76
"153",20,223,11.5,68
